,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
38,cidreira,-30.1811,-50.2056,300.92,70,9,4.23,BR,1612287693
39,vigrestad,58.5667,5.7,270.15,80,75,2.06,NO,1612287694
40,vao,-22.6667,167.4833,297.75,89,100,19.04,NC,1612287696
41,usinsk,65.9939,57.5281,260.86,96,100,5.16,RU,1612287699
42,bluff,-46.6,168.3333,287.04,91,75,3.62,NZ,1612287700
43,batala,31.8186,75.2028,285.15,76,40,3.92,IN,1612287702
44,muncar,-8.4333,114.3333,298.38,87,100,1.73,ID,1612287703
45,lorengau,-2.0226,147.2712,300.42,85,96,5.11,PG,1612287704
46,la romana,18.4273,-68.9728,302.15,74,40,6.17,DO,1612287705
47,hermanus,-34.4187,19.2345,294.48,68,0,2.86,ZA,1612287707
48,miri,4.4148,114.0089,299.15,89,40,3.09,MY,1612287411
49,auki,-8.7676,160.7034,298.79,86,99,2.1,SB,1612287710
50,atuona,-9.8,-139.0333,298.92,77,1,7.28,PF,1612287711
51,bambous virieux,-20.3428,57.7575,300.37,78,40,3.09,MU,1612287712
52,padang,-0.9492,100.3543,298.15,94,40,1.03,ID,1612287713
53,nouadhibou,20.931,-17.0347,297.15,53,0,5.66,MR,1612287716
54,carnarvon,-24.8667,113.6333,299.15,100,90,9.26,AU,1612287717
55,altay,47.8667,88.1167,263.28,79,100,0.91,CN,1612287718
56,vaini,-21.2,-175.2,298.15,100,90,6.69,TO,1612287719
57,busselton,-33.65,115.3333,290.93,74,0,1.79,AU,1612287720
58,baghdad,33.3406,44.4009,286.15,50,0,3.09,IQ,1612287719
59,balaipungut,1.05,101.2833,297.15,94,98,0.37,ID,1612287723
60,coquimbo,-29.9533,-71.3436,291.15,72,75,4.12,CL,1612287725
61,leningradskiy,69.3833,178.4167,255.03,88,100,11.07,RU,1612287726
62,nemuro,43.3236,145.575,264.41,85,6,11.14,JP,1612287729
63,lazaro cardenas,17.9583,-102.2,302.53,50,0,3.17,MX,1612287730
64,lompoc,34.6391,-120.4579,285.93,93,1,2.57,US,1612287447
65,kavieng,-2.5744,150.7967,298.89,89,100,8.2,PG,1612287732
66,naze,28.3667,129.4833,283.93,76,0,8.43,JP,1612287733
67,albany,42.6001,-73.9662,272.04,87,100,0.89,US,1612287736
68,abrau-dyurso,44.69,37.59,282.15,81,67,4.0,RU,1612287737
69,leh,34.1667,77.5833,260.05,63,92,0.08,IN,1612287611
70,kapaa,22.0752,-159.319,292.15,100,1,2.57,US,1612287741
71,torbay,47.6666,-52.7314,272.04,74,90,1.54,CA,1612287742
72,chokurdakh,70.6333,147.9167,254.06,91,77,5.6,RU,1612287744
73,porto velho,-8.7619,-63.9039,301.15,74,75,2.06,BR,1612287548
74,verkhoyansk,67.5447,133.385,236.12,80,100,1.55,RU,1612287480
75,hasaki,35.7333,140.8333,275.15,60,20,2.57,JP,1612287546
76,cayenne,4.9333,-52.3333,302.15,74,75,6.17,GF,1612287748
77,katsuura,35.1333,140.3,279.15,49,20,4.63,JP,1612287750
78,kaka,37.3482,59.6143,281.38,60,0,2.5,TM,1612287751
79,baykit,61.67,96.37,250.89,86,100,1.34,RU,1612287752
80,longyearbyen,78.2186,15.6401,265.15,86,75,3.09,SJ,1612287753
81,ludlow,42.1601,-72.4759,274.26,75,90,5.66,US,1612287755
82,vila do maio,15.1333,-23.2167,299.15,50,0,9.26,CV,1612287756
83,castro,-24.7911,-50.0119,298.79,75,8,1.47,BR,1612287757
84,iqaluit,63.7506,-68.5145,244.15,69,75,2.06,CA,1612287611
85,rio gallegos,-51.6226,-69.2181,300.15,26,0,10.29,AR,1612287688
86,husavik,66.0449,-17.3389,261.15,72,0,3.6,IS,1612287761
87,mar del plata,-38.0023,-57.5575,291.15,94,90,5.14,AR,1612287661
88,saldanha,-33.0117,17.9442,299.15,36,1,7.72,ZA,1612287763
89,hay river,60.8156,-115.7999,249.15,70,100,5.66,CA,1612287764
90,hamilton,39.1834,-84.5333,272.59,59,1,5.66,US,1612287199
91,santa cruz,-17.8,-63.1667,302.15,74,75,10.29,BO,1612287748
92,port alfred,-33.5906,26.891,294.26,87,0,2.68,ZA,1612287759
93,nizhnekamsk,55.6366,51.8245,265.15,93,75,3.0,RU,1612287769
94,sorata,-15.7667,-68.6333,286.81,68,94,4.54,BO,1612287771
95,porto recanati,43.4365,13.6613,281.48,20,55,0.45,IT,1612287772
96,talnakh,69.4865,88.3972,248.48,83,97,2.85,RU,1612287773
97,touho,-20.7833,165.2333,296.14,84,100,9.03,NC,1612287774
98,chuy,-33.6971,-53.4616,303.52,50,17,0.28,UY,1612287775
99,capao da canoa,-29.7456,-50.0097,300.16,75,2,4.32,BR,1612287776
100,esperance,-33.8667,121.9,295.15,40,90,5.66,AU,1612287777
101,san cristobal,7.7669,-72.225,308.15,24,20,10.29,VE,1612287778
102,buriti alegre,-18.14,-49.0403,300.33,72,80,0.55,BR,1612287782
103,yumen,40.2833,97.2,269.98,67,99,6.43,CN,1612287783
104,marsaxlokk,35.8419,14.5431,287.59,88,20,5.66,MT,1612287785
105,ferrol,43.4832,-8.2369,287.59,83,100,0.89,ES,1612287786
106,khatanga,71.9667,102.5,238.36,84,0,4.25,RU,1612287787
107,lae,-6.7221,146.9847,297.17,85,100,5.17,PG,1612287788
108,lancaster,40.2504,-76.2499,275.15,64,90,7.2,US,1612287556
109,boma,7.0805,-2.1697,305.24,30,0,0.41,GH,1612287790
110,assiniboia,49.6334,-105.9845,277.15,52,10,4.63,CA,1612287791
111,saskylakh,71.9167,114.0833,248.2,88,100,8.39,RU,1612287792
112,rudnichnyy,59.617,52.4703,259.91,96,91,3.29,RU,1612287793
113,banjar,-8.19,114.9675,299.15,89,75,5.66,ID,1612287795
114,yuksekova,37.5736,44.2872,272.15,86,33,2.06,TR,1612287796
115,yulara,-25.2406,130.9889,300.15,29,10,4.12,AU,1612287797
116,nikolskoye,59.7035,30.7861,269.26,93,90,4.0,RU,1612287798
117,provideniya,64.3833,-173.3,258.93,92,100,6.94,RU,1612287799
118,manokwari,-0.8667,134.0833,298.81,78,97,2.27,ID,1612287800
119,shagonar,51.5333,92.8,251.04,85,53,0.83,RU,1612287802
120,olafsvik,64.8945,-23.7142,275.28,79,100,7.46,IS,1612287803
121,pevek,69.7008,170.3133,260.72,94,100,3.4,RU,1612287805
122,huarmey,-10.0681,-78.1522,297.58,64,27,4.8,PE,1612287806
123,mount gambier,-37.8333,140.7667,287.15,77,90,4.63,AU,1612287807
124,kathu,7.9178,98.3332,299.15,83,20,1.54,TH,1612287808
125,beringovskiy,63.05,179.3167,260.81,95,100,4.14,RU,1612287809
126,mount isa,-20.7333,139.5,299.15,78,90,5.48,AU,1612287810
127,luanda,-8.8368,13.2343,302.15,65,40,4.12,AO,1612287319
128,ende,-8.8432,121.6623,299.2,77,100,1.77,ID,1612287813
129,petrozavodsk,61.7849,34.3469,256.15,85,84,1.05,RU,1612287814
130,hithadhoo,-0.6,73.0833,301.38,71,100,2.2,MV,1612287815
131,flin flon,54.7682,-101.865,266.15,100,90,2.06,CA,1612287816
132,kaitangata,-46.2817,169.8464,286.86,83,53,1.91,NZ,1612287817
133,utena,55.5,25.6,269.35,97,100,6.94,LT,1612287818
134,mahebourg,-20.4081,57.7,300.15,78,40,3.09,MU,1612287819
135,east london,-33.0153,27.9116,295.15,78,0,7.72,ZA,1612287820
136,lavrentiya,65.5833,-171.0,258.35,91,100,9.89,RU,1612287821
137,kismayo,-0.3582,42.5454,298.58,78,35,6.61,SO,1612287824
138,mayo,38.8876,-76.5119,275.37,80,90,4.12,US,1612287825
139,kutum,14.2,24.6667,296.56,20,18,3.33,SD,1612287826
140,pingzhuang,42.0372,119.2889,251.71,78,9,1.12,CN,1612287827
141,constitucion,-35.3333,-72.4167,293.3,61,10,2.92,CL,1612287828
142,puerto ayora,-0.7393,-90.3518,302.15,70,40,6.17,EC,1612287829
143,fairbanks,64.8378,-147.7164,245.15,69,1,1.68,US,1612287616
144,atambua,-9.1061,124.8925,297.12,87,100,0.31,ID,1612287831
145,jharsuguda,21.85,84.0333,287.52,34,0,1.7,IN,1612287832
146,nanortalik,60.1432,-45.2371,265.55,87,0,6.66,GL,1612287833
147,aden,12.7794,45.0367,297.3,73,1,3.91,YE,1612287651
148,alice springs,-23.7,133.8833,299.15,29,37,3.6,AU,1612287735
149,luwuk,-0.9516,122.7875,298.31,79,100,3.09,ID,1612287837
150,mecca,21.4267,39.8261,297.78,70,0,2.88,SA,1612287838
151,loukhi,66.0764,33.0381,258.28,94,77,1.98,RU,1612287839
152,atasu,48.6814,71.6433,263.21,89,88,2.04,KZ,1612287840
153,derzhavinsk,51.1,66.3167,266.66,96,100,8.57,KZ,1612287841
154,quesnel,52.9999,-122.5029,271.15,86,90,2.06,CA,1612287753
155,dikson,73.5069,80.5464,243.51,82,38,5.96,RU,1612287844
156,abu kamal,34.4506,40.9171,286.61,51,3,3.28,SY,1612287845
157,syasstroy,60.1367,32.5691,267.71,98,99,2.59,RU,1612287846
158,hami,42.8,93.45,269.8,80,80,1.45,CN,1612287847
159,qaanaaq,77.484,-69.3632,252.31,86,100,2.01,GL,1612287848
160,fortuna,40.5982,-124.1573,283.15,100,75,0.66,US,1612287849
161,upernavik,72.7868,-56.1549,250.6,88,100,2.89,GL,1612287850
162,maraba,-5.3686,-49.1178,307.15,55,40,2.06,BR,1612287732
163,bredasdorp,-34.5322,20.0403,296.15,53,0,2.57,ZA,1612287852
164,scottsbluff,41.8666,-103.6672,287.59,30,1,3.6,US,1612287854
165,lapua,62.9693,23.0088,254.15,84,40,2.0,FI,1612287855
166,saint george,37.1041,-113.5841,287.59,50,1,1.54,US,1612287856
167,la ronge,55.1001,-105.2842,265.15,93,90,3.09,CA,1612287858
168,genhe,50.7833,121.5167,236.53,81,48,1.18,CN,1612287859
169,lagoa,39.05,-27.9833,285.9,66,31,15.13,PT,1612287860
170,avarua,-21.2078,-159.775,300.15,78,20,4.63,CK,1612287861
171,raga,8.4596,25.678,301.4,26,34,1.73,SS,1612287863
172,bengkulu,-3.8004,102.2655,297.75,88,99,2.2,ID,1612287865
173,palmer,42.1584,-72.3287,274.26,75,90,5.66,US,1612287787
174,kholmogory,64.2229,41.656,263.15,85,90,4.0,RU,1612287867
175,greencastle,39.6445,-86.8647,274.26,74,90,4.12,US,1612287750
176,namibe,-15.1961,12.1522,296.94,71,8,4.08,AO,1612287869
177,yellowknife,62.456,-114.3525,248.15,70,90,7.72,CA,1612287723
178,najran,17.4924,44.1277,293.15,32,0,3.09,SA,1612287871
179,dudinka,69.4058,86.1778,253.07,92,100,4.14,RU,1612287872
180,jaboticabal,-21.2547,-48.3222,305.15,45,20,3.6,BR,1612287690
181,eucaliptus,-17.5833,-67.5167,292.15,42,40,3.09,BO,1612287874
182,kavaratti,10.5669,72.642,300.85,71,2,2.35,IN,1612287876
183,klaksvik,62.2266,-6.589,276.15,70,38,6.69,FO,1612287877
184,middleton,53.55,-2.2,280.93,89,96,1.34,GB,1612287878
185,kipushi,-11.7667,27.2333,291.26,95,100,1.56,CD,1612287879
186,zabaykalsk,49.6333,117.3167,242.35,82,0,5.14,RU,1612287880
187,nosy varika,-20.5833,48.5333,299.41,77,5,2.19,MG,1612287881
188,norman wells,65.282,-126.8329,245.15,76,90,6.69,CA,1612287882
189,berlevag,70.8578,29.0864,270.15,86,75,10.29,NO,1612287883
190,sarrebourg,48.7333,7.05,285.15,87,75,4.63,FR,1612287884
191,te anau,-45.4167,167.7167,285.13,90,71,0.31,NZ,1612287885
192,new norfolk,-42.7826,147.0587,286.48,69,91,0.54,AU,1612287887
193,kelowna,49.8831,-119.4857,277.59,81,90,1.03,CA,1612287664
194,udachnyy,66.4167,112.4,239.55,81,100,9.54,RU,1612287889
195,hofn,64.2539,-15.2082,273.62,89,100,6.44,IS,1612287890
196,dharchula,29.85,80.5333,281.48,45,0,2.66,IN,1612287891
197,elizabethtown,37.694,-85.8591,273.71,64,40,3.6,US,1612287892
198,carutapera,-1.195,-46.02,303.59,60,63,4.84,BR,1612287893
199,narsaq,60.9167,-46.05,269.15,74,75,4.12,GL,1612287894
200,ormara,25.2088,64.6357,294.92,70,0,5.79,PK,1612287895
201,batemans bay,-35.7167,150.1833,283.71,90,55,3.17,AU,1612287897
202,ola,59.5833,151.2833,245.4,81,95,5.06,RU,1612287898
203,mareeba,-17.0,145.4333,297.15,94,66,0.51,AU,1612287899
204,bechem,7.0903,-2.025,304.77,30,0,1.02,GH,1612287900
205,amurrio,43.05,-3.0,289.82,72,83,4.87,ES,1612287901
206,kon tum,14.35,108.0,288.16,89,8,1.29,VN,1612287904
207,ancud,-41.8697,-73.8203,292.59,62,0,3.13,CL,1612287850
208,pacific grove,36.6177,-121.9166,284.82,93,90,2.67,US,1612287705
209,de land,29.0283,-81.3031,284.26,49,1,5.66,US,1612287907
210,san patricio,28.017,-97.5169,293.15,45,20,3.6,US,1612287908
211,finschhafen,-6.6024,147.8681,299.92,79,100,0.69,PG,1612287909
212,conway,35.0887,-92.4421,276.15,70,1,1.28,US,1612287846
213,soyo,-6.1349,12.3689,299.93,80,100,3.14,AO,1612287912
214,nanga eboko,4.6833,12.3667,300.76,45,74,1.34,CM,1612287913
215,port antonio,18.18,-76.4612,302.15,65,20,3.09,JM,1612287914
216,half moon bay,37.4636,-122.4286,285.93,100,90,2.2,US,1612287915
217,rondonopolis,-16.4708,-54.6356,309.5,38,99,0.95,BR,1612287916
218,praia da vitoria,38.7333,-27.0667,287.15,67,40,13.63,PT,1612287917
219,mehamn,71.0357,27.8492,270.15,63,75,10.29,NO,1612287919
220,comodoro rivadavia,-45.8667,-67.5,300.15,36,0,2.57,AR,1612287764
221,maniitsoq,65.4167,-52.9,254.86,80,0,2.88,GL,1612287922
222,linxia,35.6003,103.2064,271.36,68,24,0.76,CN,1612287923
223,gidam,18.9833,81.4,288.0,33,0,1.21,IN,1612287924
224,puerto lopez,4.0845,-72.956,308.47,31,77,4.1,CO,1612287925
225,college,64.8569,-147.8028,245.15,69,1,1.54,US,1612287926
226,awjilah,29.1081,21.2869,290.1,38,71,3.17,LY,1612287927
227,paso de carrasco,-34.8603,-56.0522,297.15,78,75,4.63,UY,1612287929
228,zafra,38.4167,-6.4167,286.48,82,54,0.89,ES,1612287930
229,shakawe,-18.3667,21.85,296.06,78,70,1.41,BW,1612287931
230,broome,42.2506,-75.833,271.48,80,90,6.69,US,1612287933
231,saint-philippe,-21.3585,55.7679,301.15,74,20,1.03,RE,1612287934
232,rio grande,-32.035,-52.0986,304.15,66,40,5.14,BR,1612287935
233,vila franca do campo,37.7167,-25.4333,287.59,67,20,10.8,PT,1612287936
234,washougal,45.5826,-122.3534,282.15,71,1,6.17,US,1612287938
235,rock springs,41.5875,-109.2029,270.15,68,1,0.17,US,1612287939
236,dicabisagan,17.0818,122.4157,295.98,83,92,4.98,PH,1612287940
237,salalah,17.0151,54.0924,297.15,53,0,0.51,OM,1612287941
